,t,q_d,dq_d,i_d,q,dq,i
0,2.073997166007757e-06,4.245492846166599e-12,0,-7909.074884112529,0.7231944444444444,1975.4607349170317,0
1,0.0023141249985201284,5.285344458982877e-06,0,-7.231891590999854,0.7231944444444444,0.0,-10
2,0.0059501249997993,3.4942294399264995e-05,0,21.350693824745072,0.6879166666666666,-7.057377767116937,-144
3,0.01241213299726951,0.00015205138665130846,0,21.28563601894071,0.6526388888888889,-6.9526260984907715,-35
4,0.01609383699906175,0.0002556320139337487,0,36.45055302545525,0.5997222222222222,-10.611304731884534,-27
5,0.02243256899964763,0.000496650160350498,0,37.457257269844675,0.5468055555555555,-10.730086580949182,-13
6,0.025917884999216767,0.0006629629599022024,0,23.029963000443317,0.5115277777777777,-7.034652787155518,-11
7,0.030920963999960804,0.0009436091316130657,0,37.75348354964686,0.4586111111111111,-10.582539642360459,2
8,0.03591606099871569,0.0012730888533178941,0,38.25007369569204,0.4056944444444444,-10.573571812900825,-9
9,0.04234164399895235,0.001769332939210777,0,24.28912718308223,0.37041666666666667,-6.993900130089197,10
10,0.04608114299844601,0.0020956361970458914,0,39.22146180618554,0.3175,-10.59387636105377,-6
11,0.05241939400002593,0.002711717708447914,0,25.71312312856461,0.2822222222222222,-7.127057043425588,0
12,0.05592404299750342,0.0030863997990069336,0,25.779431640944004,0.2469444444444444,-7.0545030218495945,-2
13,0.0624623839976266,0.0038501806962019103,0,25.915422532893267,0.21166666666666664,-6.998396848149478,4
14,0.06608964399856632,0.004310266896546899,0,12.19752976724253,0.19402777777777777,-3.52367621901371,-5
15,0.07241991299815709,0.005175362892522628,0,26.752137702725843,0.15875,-7.071971018450154,-1
16,0.0759178400003293,0.00568728618526837,0,12.793592131781352,0.1411111111111111,-3.536957595259945,11
17,0.08245629199882387,0.006708882759090429,0,12.920767221349447,0.1234722222222222,-3.5221001539951913,-6
18,0.08607560699965688,0.007310617689860521,0,13.117512561687517,0.10583333333333332,-3.5256849295305615,-2
19,0.09240582100028405,0.008425125939186984,0,13.392659701671695,0.08819444444444445,-3.5475882216810675,4
20,0.09590595199915697,0.00907526770869449,0,13.497129539398937,0.07055555555555555,-3.527983104466887,-6
21,0.10090086399941356,0.010044863688042582,0,13.617611412534098,0.05291666666666666,-3.5115823605800847,-4
22,0.1060363309989043,0.011092986306654673,0,13.889241728838533,0.035277777777777776,-3.532772410887441,-9
23,0.11223148999852128,0.012426511571987042,0,-0.22851266205790732,0.035277777777777776,0.0,-4
24,0.11606650699832244,0.013289880934716614,0,14.050488397878905,0.017638888888888888,-3.523494619355157,3
25,0.12106660399877,0.014459026015699372,0,-0.03179862873189516,0.017638888888888888,0.0,0
26,0.12608151599852135,0.015681061293319587,0,14.257986031598373,0.0,-3.525293854666294,-3
27,0.1322559159998491,0.017253612149437103,0,0.17253612149437103,0.0,0.0,2
28,0.13601434099837206,0.018247560460903145,0,0.18247560460903145,0.0,0.0,13
29,0.1424228129981202,0.02000640374241769,0,0.2000640374241769,0.0,0.0,-8
30,0.1460549980001815,0.02103913032291249,0,0.21039130322912492,0.0,0.0,-4
31,0.15244369299762184,0.022918522110747297,0,0.22918522110747297,0.0,0.0,0
32,0.15588900899820146,0.023965334702722885,0,14.497984014898172,-0.017638888888888888,-3.5204854447455136,-4
33,0.16100830899813445,0.0255638288526292,0,0.4320271774151808,-0.017638888888888888,0.0,-3
34,0.16600207299779868,0.027172713543915705,0,0.44811602432804587,-0.017638888888888888,0.0,-3
35,0.17243160100042587,0.029316263274957066,0,0.4695515216384595,-0.017638888888888888,0.0,-5
36,0.17618283999763662,0.03060436807285427,0,0.48243256961743153,-0.017638888888888888,0.0,-4
37,0.1824709989996336,0.03282552447028486,0,14.871280306324877,-0.035277777777777776,-3.5475618209610627,-2
38,0.18599370399897452,0.03410373236391173,0,0.693815101416895,-0.035277777777777776,0.0,-5
39,0.19100689399783732,0.03596470480489078,0,0.7124248258266854,-0.035277777777777776,0.0,-5
40,0.19599404700056766,0.03786488076649164,0,0.731426585442694,-0.035277777777777776,0.0,6
41,0.20099903299706057,0.039820835899197604,0,0.7509861367697537,-0.035277777777777776,0.0,-1
42,0.20603979599763989,0.04184035255082641,0,0.7711813032860417,-0.035277777777777776,0.0,-7
43,0.21102757900007418,0.04388759833515632,0,0.7916537611293408,-0.035277777777777776,0.0,3
44,0.2159905289991002,0.04597296456280464,0,0.812507423405824,-0.035277777777777776,0.0,-1
45,0.22098581099999137,0.048120560308605675,0,0.8339833808638344,-0.035277777777777776,0.0,-3
46,0.22602805600035936,0.050337817480310854,0,0.8561559525808862,-0.035277777777777776,0.0,-2
47,0.23102907999782474,0.052586020938591105,0,0.8786379871636887,-0.035277777777777776,0.0,-3
48,0.23598297399803414,0.054861197857194455,0,0.9013897563497222,-0.035277777777777776,0.0,-3
49,0.24098175600011018,0.05720555415748585,0,0.9248333193526361,-0.035277777777777776,0.0,6
50,0.24742133899781038,0.06029748793502154,0,0.9557526571279931,-0.035277777777777776,0.0,-7
51,0.25102046899701236,0.06206082503801813,0,0.9733860281579589,-0.035277777777777776,0.0,-7
52,0.2573596449983597,0.06522800628505632,0,1.0050578406283408,-0.035277777777777776,0.0,-5
53,0.26097436800046125,0.0670690467840398,0,1.0234682456181756,-0.035277777777777776,0.0,-6
54,0.2673960989995976,0.07040249621461392,0,1.0568027399239168,-0.035277777777777776,0.0,-5
55,0.27101954399768147,0.07231880756774345,0,1.0759658534552121,-0.035277777777777776,0.0,-3
56,0.2773453869995137,0.07572553372586466,0,1.1100331150364242,-0.035277777777777776,0.0,5
57,0.28096796099998755,0.07771147225347708,0,1.1298925003125484,-0.035277777777777776,0.0,6
58,0.2874083030001202,0.0813051077139253,0,1.1658288549170306,-0.035277777777777776,0.0,-5
59,0.2910249880005722,0.08335849445055477,0,1.1863627222833253,-0.035277777777777776,0.0,-4
60,0.2974630709977646,0.08707655794898272,0,1.2235433572676049,-0.035277777777777776,0.0,-1
61,0.30096194299767376,0.08913091594044076,0,1.2440869371821852,-0.035277777777777776,0.0,7
62,0.3074041740001121,0.0929755368628582,0,1.2825331464063596,-0.035277777777777776,0.0,-5
63,0.31100678499933565,0.09516057345448825,0,1.3043835123226601,-0.035277777777777776,0.0,-5
64,0.31734038799913833,0.09906291924530475,0,1.3434069702308251,-0.035277777777777776,0.0,1
65,0.32095605499853264,0.10132545798010373,0,1.366032357578815,-0.035277777777777776,0.0,6
